cve_ent_mun,fecha,confirmados,decesos,pruebas,indice_vulnerabilidad
8065,12/4/2020,0,0,0,No Disponible
8066,12/4/2020,0,0,0,vulnerabilidad media
8067,12/4/2020,0,0,0,sin vulnerabilidad
9002,12/4/2020,57,3,322,vulnerabilidad baja
9003,12/4/2020,66,4,415,vulnerabilidad media
9004,12/4/2020,81,1,230,vulnerabilidad alta
9005,12/4/2020,137,13,673,vulnerabilidad media
9006,12/4/2020,33,4,223,vulnerabilidad media
9007,12/4/2020,146,15,787,vulnerabilidad media
9008,12/4/2020,36,2,280,vulnerabilidad alta
9009,12/4/2020,16,0,99,vulnerabilidad muy alta
9010,12/4/2020,96,8,523,vulnerabilidad media
9011,12/4/2020,19,3,216,vulnerabilidad media
9012,12/4/2020,86,2,443,vulnerabilidad alta
9013,12/4/2020,53,4,327,vulnerabilidad alta
9014,12/4/2020,66,3,524,vulnerabilidad media
9015,12/4/2020,94,5,456,vulnerabilidad media
9016,12/4/2020,129,2,556,vulnerabilidad media
9017,12/4/2020,58,7,288,vulnerabilidad media
10001,12/4/2020,0,0,0,sin vulnerabilidad
10002,12/4/2020,0,0,0,vulnerabilidad media
10003,12/4/2020,0,0,0,vulnerabilidad baja
10004,12/4/2020,0,0,3,sin vulnerabilidad
10005,12/4/2020,5,1,123,sin vulnerabilidad
10006,12/4/2020,1,0,1,sin vulnerabilidad
10007,12/4/2020,10,4,169,vulnerabilidad baja
10008,12/4/2020,0,0,0,vulnerabilidad baja
10009,12/4/2020,0,0,0,vulnerabilidad alta
10010,12/4/2020,0,0,0,sin vulnerabilidad
10011,12/4/2020,0,0,1,sin vulnerabilidad
10012,12/4/2020,0,0,28,sin vulnerabilidad
10013,12/4/2020,1,1,4,sin vulnerabilidad
10014,12/4/2020,0,0,0,vulnerabilidad alta
10015,12/4/2020,0,0,1,sin vulnerabilidad
10016,12/4/2020,0,0,0,vulnerabilidad baja
10017,12/4/2020,0,0,0,vulnerabilidad baja
10018,12/4/2020,0,0,2,sin vulnerabilidad
10019,12/4/2020,0,0,0,vulnerabilidad alta
10020,12/4/2020,0,0,0,sin vulnerabilidad
10021,12/4/2020,0,0,0,sin vulnerabilidad
10022,12/4/2020,0,0,0,sin vulnerabilidad
10023,12/4/2020,0,0,5,vulnerabilidad media
10024,12/4/2020,0,0,2,sin vulnerabilidad
10025,12/4/2020,0,0,0,sin vulnerabilidad
10026,12/4/2020,0,0,0,vulnerabilidad media
10027,12/4/2020,0,0,1,vulnerabilidad media
10028,12/4/2020,1,0,3,sin vulnerabilidad
10029,12/4/2020,0,0,1,sin vulnerabilidad
10030,12/4/2020,0,0,0,sin vulnerabilidad
10031,12/4/2020,0,0,0,sin vulnerabilidad
10032,12/4/2020,0,0,2,vulnerabilidad baja
10033,12/4/2020,0,0,0,vulnerabilidad baja
10034,12/4/2020,0,0,0,vulnerabilidad media
10035,12/4/2020,0,0,0,vulnerabilidad media
10036,12/4/2020,0,0,2,vulnerabilidad baja
10037,12/4/2020,0,0,0,vulnerabilidad alta
10038,12/4/2020,0,0,1,vulnerabilidad baja
10039,12/4/2020,0,0,1,vulnerabilidad baja
11001,12/4/2020,2,0,4,vulnerabilidad baja
11002,12/4/2020,0,2,31,sin vulnerabilidad
11003,12/4/2020,3,0,28,vulnerabilidad baja
11004,12/4/2020,0,0,7,sin vulnerabilidad
11005,12/4/2020,0,1,12,sin vulnerabilidad
11006,12/4/2020,0,0,1,vulnerabilidad media
